Voltage, PWM, Rot Time, Left ticks, Right ticks
535, 50, 2110596, 30, 16
529, 50, 909108, 23, 19
529, 50, 1249000, 16, 16
529, 50, 1100444, 16, 16
529, 55, 1100364, 16, 16
529, 55, 1233328, 16, 21
528, 55, 1216268, 21, 16
529, 55, 948408, 16, 16
529, 60, 920488, 16, 25
528, 60, 1051488, 16, 24
528, 60, 802504, 16, 18
528, 60, 980140, 16, 18
528, 65, 751324, 16, 17
528, 65, 768196, 16, 22
528, 65, 643456, 16, 20
528, 65, 782680, 16, 19
527, 70, 709796, 16, 17
535, 70, 701208, 16, 20
527, 70, 828792, 16, 25
530, 70, 753840, 16, 31
528, 75, 584904, 16, 17
527, 75, 675720, 16, 21
527, 75, 733452, 16, 25
527, 75, 559972, 16, 19
527, 80, 541348, 16, 20
527, 80, 516996, 16, 21
527, 80, 340120, 17, 18
526, 80, 643188, 16, 23
527, 85, 535392, 16, 21
526, 85, 620892, 16, 23
527, 85, 528828, 16, 25
537, 85, 662728, 16, 24
526, 90, 545208, 16, 19
526, 90, 574368, 16, 18
526, 90, 621272, 16, 22
525, 90, 414720, 16, 16
526, 95, 508848, 24, 16
526, 95, 531448, 16, 20
525, 95, 421020, 16, 22
526, 95, 378884, 16, 16
525, 100, 518708, 16, 19
525, 100, 435984, 17, 17
524, 100, 414360, 17, 16
524, 100, 533152, 16, 20
525, 105, 488472, 16, 22
525, 105, 482680, 16, 17
525, 105, 484508, 16, 19
524, 105, 559028, 16, 22
529, 110, 484964, 16, 17
524, 110, 520368, 16, 19
536, 110, 480352, 16, 16
531, 110, 447464, 16, 16
536, 115, 503364, 16, 19
524, 115, 478680, 16, 17
523, 115, 510324, 16, 18
524, 115, 508472, 16, 17
530, 120, 526556, 16, 18
533, 120, 473292, 16, 16
523, 120, 473672, 16, 16
528, 120, 514628, 16, 17
535, 125, 472524, 16, 16
526, 125, 496452, 16, 17
531, 125, 496628, 16, 17
530, 125, 499532, 16, 17
523, 130, 451836, 17, 16
524, 130, 452248, 16, 16
534, 130, 480000, 16, 18
530, 130, 420208, 16, 16
524, 135, 443008, 16, 16
534, 135, 462560, 16, 16
523, 135, 431664, 16, 17
523, 135, 462744, 16, 18
534, 140, 452096, 16, 16
534, 140, 399740, 20, 16
525, 140, 437312, 16, 16
522, 140, 444364, 16, 18
534, 145, 427228, 16, 16
533, 145, 425168, 16, 16
533, 145, 424800, 19, 16
529, 145, 427760, 16, 16
533, 150, 398916, 16, 17
533, 150, 419900, 16, 16
522, 150, 419984, 16, 18
533, 150, 407496, 23, 16
523, 155, 400304, 16, 20
533, 155, 409168, 16, 19
524, 155, 409940, 16, 16
532, 155, 384156, 18, 16
527, 160, 395008, 18, 16
532, 160, 393208, 21, 16
529, 160, 391308, 16, 16
523, 160, 348268, 16, 17
531, 165, 393124, 16, 16
532, 165, 367408, 18, 16
531, 165, 357800, 23, 16
531, 165, 381324, 19, 16
524, 170, 376456, 16, 16
522, 170, 352328, 19, 17
528, 170, 380880, 16, 19
532, 170, 322128, 16, 16
522, 175, 368332, 16, 16
522, 175, 365520, 20, 16
524, 175, 351256, 16, 16
532, 175, 372492, 16, 17
532, 180, 367512, 16, 18
530, 180, 364740, 16, 17
524, 180, 319204, 16, 18
523, 180, 304812, 20, 16
523, 185, 354324, 19, 16
525, 185, 351496, 16, 16
521, 185, 341968, 16, 17
528, 185, 357472, 16, 18
521, 190, 333112, 21, 16
523, 190, 350356, 16, 16
527, 190, 320012, 16, 16
532, 190, 321700, 17, 16
523, 195, 341172, 16, 16
532, 195, 340640, 16, 16
529, 195, 330868, 16, 17
521, 195, 346516, 16, 17
530, 200, 321736, 17, 16
531, 200, 333892, 16, 16
522, 200, 303596, 16, 16
530, 200, 339184, 16, 19
527, 205, 293552, 18, 16
530, 205, 329508, 18, 16
530, 205, 278176, 16, 16
530, 205, 312336, 16, 18
529, 210, 331024, 16, 19
528, 210, 308352, 16, 17
522, 210, 322528, 21, 16
531, 210, 313676, 16, 19
522, 215, 252628, 17, 16
529, 215, 322500, 17, 16
522, 215, 321776, 16, 16
528, 215, 321112, 16, 16
529, 220, 318248, 17, 16
525, 220, 317072, 18, 16
525, 220, 295580, 18, 16
529, 220, 276672, 18, 16
530, 225, 314524, 18, 16
529, 225, 314208, 16, 16
525, 225, 316164, 16, 16
530, 225, 295616, 16, 16
524, 230, 313532, 16, 19
526, 230, 292868, 16, 17
529, 230, 311504, 16, 16
529, 230, 311248, 16, 19
528, 235, 289884, 18, 16
529, 235, 305928, 16, 16
524, 235, 305920, 16, 20
529, 235, 283108, 16, 16
529, 240, 302516, 17, 16
528, 240, 289208, 16, 18
524, 240, 302992, 16, 17
527, 240, 301456, 16, 20
528, 245, 297268, 16, 17
528, 245, 297052, 16, 17
524, 245, 296788, 16, 16
525, 245, 294604, 16, 18
524, 250, 234648, 16, 16
527, 250, 289080, 19, 16
527, 250, 254060, 16, 17
525, 250, 287920, 16, 17
527, 255, 285328, 19, 18
527, 255, 265932, 17, 16
528, 255, 247532, 16, 16
527, 255, 282532, 20, 16
527, 50, 439464, 16, 16
530, 50, 1040824, 16, 18
530, 50, 1154228, 16, 17
