voltage, pwm, time, lticks, rticks
535, 50, 4411324, 64, 64
530, 55, 4274708, 65, 80
530, 60, 4558048, 64, 94
529, 65, 3376656, 70, 64
531, 70, 3079564, 77, 64
528, 75, 3340520, 88, 64
528, 80, 2771084, 68, 64
528, 85, 2453000, 70, 64
527, 90, 2169520, 64, 78
527, 95, 1911392, 64, 72
538, 100, 1748312, 64, 71
526, 105, 1976720, 64, 68
539, 110, 2060212, 64, 72
525, 115, 1826344, 70, 64
525, 120, 1848404, 64, 73
530, 125, 1874904, 64, 72
533, 130, 1979352, 70, 65
528, 135, 1827924, 68, 64
525, 140, 1814576, 64, 71
524, 145, 1705208, 64, 65
535, 150, 1745168, 64, 72
536, 155, 1635792, 64, 67
524, 160, 1650464, 64, 70
535, 165, 1569496, 65, 64
534, 170, 1509396, 64, 65
523, 175, 1462332, 64, 67
533, 180, 1463040, 64, 64
530, 185, 1455336, 64, 66
530, 190, 1414240, 64, 64
525, 195, 1400468, 64, 64
528, 200, 1352596, 64, 67
526, 205, 1390864, 64, 65
529, 210, 1316032, 64, 64
523, 215, 1360668, 64, 67
531, 220, 1310932, 64, 66
530, 225, 1225800, 64, 64
529, 230, 1234700, 64, 67
525, 235, 1219604, 64, 65
530, 240, 1282720, 64, 75
529, 245, 1212504, 64, 64
529, 250, 1146876, 64, 71
530, 50, 4072624, 64, 74
533, 55, 3852072, 64, 86
540, 60, 3783844, 64, 69
530, 65, 3301736, 64, 66
529, 70, 3111256, 70, 64
