voltage, pwm, time, lticks, rticks
536, 50, 5169212, 64, 78
531, 55, 4943048, 64, 95
532, 60, 3993792, 64, 94
530, 65, 3554616, 64, 98
530, 70, 3026292, 64, 98
529, 75, 2697476, 64, 93
529, 80, 2222264, 64, 73
529, 85, 2481132, 64, 86
535, 90, 2305904, 64, 93
540, 95, 2231216, 64, 89
528, 100, 2300108, 64, 81
527, 105, 2202136, 64, 78
527, 110, 2163972, 64, 78
535, 115, 2066384, 64, 70
527, 120, 1990416, 64, 73
527, 125, 2014300, 64, 69
528, 130, 1909256, 64, 68
531, 135, 1753084, 64, 65
538, 140, 1811332, 64, 69
526, 145, 1701216, 64, 64
536, 150, 1679912, 64, 67
528, 155, 1653472, 64, 67
526, 160, 1583228, 64, 65
536, 165, 1484896, 64, 66
525, 170, 1448036, 64, 65
534, 175, 1437496, 64, 65
534, 180, 1336964, 67, 66
534, 185, 1403400, 64, 64
532, 190, 1347396, 64, 64
534, 195, 1343900, 64, 64
534, 200, 1232132, 66, 64
531, 205, 1292816, 73, 64
532, 210, 1241424, 65, 71
532, 215, 1251552, 67, 64
527, 220, 1183508, 66, 64
532, 225, 1204912, 64, 64
531, 230, 1154980, 76, 64
531, 235, 1137988, 67, 64
527, 240, 1110300, 64, 64
527, 245, 1150940, 70, 64
530, 250, 1138816, 72, 64
531, 255, 956276, 64, 65
529, 50, 4668660, 64, 111
