voltage, pwm, time, lticks, rticks
535, 50, 5842208, 64, 65
529, 55, 4454136, 64, 74
529, 60, 3903032, 64, 80
530, 65, 3495332, 64, 86
529, 70, 3242272, 64, 93
532, 75, 2876584, 64, 88
527, 80, 2664536, 64, 81
526, 85, 2308380, 64, 78
526, 90, 2268636, 64, 76
527, 95, 2188080, 64, 77
525, 100, 2104132, 64, 79
524, 105, 2156896, 66, 71
525, 110, 2210092, 64, 73
525, 115, 2163612, 64, 76
523, 120, 2106060, 64, 74
523, 125, 2027476, 64, 67
534, 130, 1921440, 64, 64
523, 135, 1885264, 64, 66
528, 140, 1827196, 64, 69
523, 145, 1643996, 64, 64
533, 150, 1701992, 66, 64
531, 155, 1658008, 64, 64
533, 160, 1584460, 65, 64
522, 165, 1540588, 70, 64
525, 170, 1486460, 66, 64
522, 175, 1471404, 64, 70
522, 180, 1452164, 66, 64
530, 185, 1421500, 64, 64
532, 190, 1416644, 67, 64
527, 195, 1390076, 69, 64
527, 200, 1288728, 64, 65
525, 205, 1213744, 68, 64
530, 210, 1284948, 66, 64
527, 215, 1269520, 72, 64
525, 220, 1195220, 74, 64
529, 225, 1260428, 78, 64
523, 230, 1158084, 64, 64
528, 235, 1078088, 68, 64
529, 240, 1056380, 65, 64
529, 245, 1077856, 76, 64
528, 250, 1053784, 70, 64
528, 255, 992132, 68, 64
527, 50, 3453768, 64, 71
