voltage, pwm, time, lticks, rticks
535, 50, 5946376, 66, 64
541, 55, 4130220, 64, 68
532, 60, 3802544, 64, 90
530, 65, 3337612, 64, 88
529, 70, 2436724, 64, 83
528, 75, 2600040, 64, 85
528, 80, 2475440, 64, 71
528, 85, 2431692, 64, 79
534, 90, 2267836, 64, 75
527, 95, 2208604, 64, 72
526, 100, 2228612, 64, 75
526, 105, 2241676, 64, 74
539, 110, 2235392, 64, 74
526, 115, 2112696, 64, 75
525, 120, 1939516, 64, 68
537, 125, 1959236, 64, 69
537, 130, 1912804, 64, 67
526, 135, 1822248, 64, 65
536, 140, 1758492, 64, 64
530, 145, 1708424, 66, 64
532, 150, 1670568, 65, 64
526, 155, 1624472, 64, 64
534, 160, 1579924, 67, 64
527, 165, 1540720, 66, 64
534, 170, 1454688, 67, 64
533, 175, 1473428, 64, 64
527, 180, 1441372, 65, 64
532, 185, 1442016, 64, 65
528, 190, 1397540, 64, 65
533, 195, 1349688, 64, 65
533, 200, 1312476, 64, 64
533, 205, 1249912, 64, 67
523, 210, 1278068, 76, 64
524, 215, 1188132, 69, 64
525, 220, 1193524, 64, 70
531, 225, 1116664, 65, 64
531, 230, 1145112, 64, 64
530, 235, 1130888, 76, 64
531, 240, 1116812, 68, 64
530, 245, 1005616, 64, 64
529, 250, 1007008, 64, 64
529, 255, 940832, 65, 65
528, 50, 3768216, 64, 87
